رقم الخط,المسار,المواقف,التعريفة
1123,قسم الحدائق - مصر والسودان - العتبة - 26 يوليو - ميدان سفنكس - جامعة الدول العربية - بولاق الدكرور,قسم الحدائق,20
1125,وراق العرب - شارع النيل - كوبري 6 أكتوبر - رمسيس - نجيب الريحاني - الجيش - فخري عبد النور - العباسية,العباسية,20
1126,الطوب الرملي - النبوي المهندس - جامعة الأزهر - احمد سعيد - شارع بورسعيد - ميدان التحرير - الدقي - بولاق الدكرور,الطوب الرملي,20
1127,بولاق الدكرور - شارع السودان - كوبري الجامعة - فم الخليج - السيدة عائشة - محور الفردوس الجديد - التجمع الثالث,التجمع الثالث,20
1128,مساكن الأسمرات بالمقطم - السبعين فدان - الدائري - القلعة - حسن الأكبر - تحرير - أحمد حلمي - المظلات,الأسمرات، المقطم، المظلات، أحمد حلمي,20
1129,الأميرية - حدائق القبة - صلاح سالم - فم الخليج - ميدان الجيزة - ربيع الجيزي - المنيب,الأميرية,20
1130,التجمع الأول - الحي العاشر - مكرم عبيد - طريق النصر - امتداد رمسيس - العباسية - عبد المنعم رياض ()2,التجمع الأول، العباسية، عبد المنعم رياض,20
1132,المطبعة - الطريق الزراعى - الأوتوستراد - البساتين - باب الخلق - تحرير - رمسيس - احمد حلمي,المطبعة، البساتين، أحمد حلمي,20
1133,بولاق الدكرور - ميدان التحرير - شارع شبرا - كوبري احمد عرابي - مساكن الوحدة العربية,-,20
1138,مطار القاهرة - صلاح سالم - العباسية - رمسيس - نفق التعاون - الترعة البولاقية - شبرا - المظلات,"مطار القاهرة، العباسية, المظلات",20
1142,مساكن الأسمرات - الطريق الدائري - الأوتوستراد - السيدة عائشة - مجرى العيون - شارع الروضة - ميدان الجيزة,الأسمرات,20
1143,ابراهيم بك (1) - شارع 15 مايو - كوبري عرابي - شارع شبرا - شارع الجلاء - تحرير - كورنيش النيل - شارع المنيل - المماليك,المماليك,20
1144,الأباجية - السيدة عائشة - باب الخلق - العتبة - أحمد حلمي - المظلات - كوبري عرابي - ابراهيم بك (1),الأباجية، المظلات، أحمد حلمي,20
1145,كهرباء الأهرام - ش الهرم - ميدان الجيزة - جامعة القاهرة - قصر العيني - التحرير - شارع رمسيس - شارع شبرا - المظلات,المظلات,20
1146,إبراهيم بك () 2- كوبري مسطرد - ميدان المطرية - التجنيد - المحكمة - الحجاز - مساكن الشيراتون,المطرية، مساكن شيراتون,20
1148,مدينة السلام ( سبيكو ) - موقف العاشر - جسر السويس - العباسية عبد المنعم رياض ()2,مدينة السلام (سبيكو)، العباسية، عبد المنعم رياض,20
1151,مساكن الأسمرات بالمقطم - عبد الله العربي - الخليفة القاهر - إمتداد رمسيس - العباسية - عبد المنعم رياض ()2,الأسمرات، المقطم، العباسية، عبد المنعم رياض,20
1153,حلوان - كورنيش النيل - فم الخليج - شارع القصر العينى - ميدان التحرير - عبد المنعم رياض ()2,حلوان، عبد المنعم رياض,20
خدمة,الروبيكي - ش جهاز مدينة بدر - طريق السويس - الأوتوستراد - ش صلاح سالم - السيدة عائشة - مجرى العيون - مستشفى 57357,الروبيكي، مدينة بدر، 57357,20
خدمة,الأسمرات - محور المشير - شارع التسعين - الغاز - ميدان الحمد - ميدان أربيلا - الزلزال - القطامية,الأسمرات، القطامية,20
خدمة,مدينة معاً - طريق القاهرة الاسماعيلية - جوزيف تيتو - طريق النصر - صلاح سالم - السيدة عائشة - المماليك,مدينة معاً، المماليك,20
خدمة,مدينة معاً - طريق القاهرة الاسماعيلية - جسر السويس - روكسي - العباسية - رمسيس - عبد المنعم رياض ()2,مدينة معاً، العباسية، عبد المنعم رياض,20
خدمة,البدرشين - الدائرى الأوسطى - نزلة جامعة حلوان - جامعة حلوان,حلوان,20
