رقم الخط,المواقف,السعر
101,"دوران شبرا, شارع شبرا, رمسيس, العباسية, نادى السكة, طريق النصر, عباس العقاد, مصطفى النحاس, التبة, الحي العاشر, شارع الميثاق, التجمع الاول",20 جنيه
102,"العمرانية, ميدان الجيزة, شارع رمسيس, العباسية, نادى السكة, جامعة الازهر, اول عباس, شارع احمد فخري, النادي الاهلي, مساكن الشروق",20 جنيه
104,"عبد المنعم رياض, شارع رمسيس, ميدان رمسيس, ميدان العباسية, شارع امتداد رمسيس, نادى السكة, محور المشير, شارع التسعين, التجمع الخامس",20 جنيه
106,"موقف السلام النموذجي, عبد الحميد بدوي, الحجاز, روكسي, العباسية, ش بورسعيد, باب الشعرية, العتبة",20 جنيه
107,"مساكن اسكو, ش 15 مايو, ش احمد حلمی, دوران شبرا, ش شبرا, عتبة, ش بورسعيد, فم الخليج, كورنيش النيل, المطبعة",20 جنيه
112,"كفر طهرمس, شارع فيصل, ميدان الجيزة, جامعة القاهرة, القصر العيني, ميدان التحرير, رمسيس, العباسية, روكسي, ميدان الحجاز, مساكن شيراتون",20 جنيه
113,"مدينة الأمل, السواح, أحمد حلمى, الترعة البولاقية, خلوصي, دوران شبرا, شارع شبرا, كوبري الساحل, شارع الوحدة, شارع البوهي, امبابة",20 جنيه
115,"مساكن الوحدة العربية, ك الأميرية, م المطرية, النزهة, الميرغني, كلية البنات, ذاكر حسين, مصطفى النحاس, الحي الثامن",20 جنيه
119,"بشتيل, احمد عرابي, ك 15 مايو, شارع 26 يوليو, الزمالك, رمسيس, العتبة, شارع الازهر, ميدان السيدة زينب, ابو الريش, حدائق زينهم",20 جنيه
120,"التجمع الاول, أحمد الزمر, عباس العقاد, الأوتوستراد, شارع الطيران, صلاح سالم, العباسية, شارع رمسيس, شارع شبرا, الترعة البولاقية, أبو وافية",20 جنيه
121,"مدينة الامل, طريق النصر, هشام بركات, شارع الطيران, صلاح سالم, العباسية, میدان رمسيس, كوبرى 15 مايو, الزمالك, بولاق الدكرور",20 جنيه
125,"ميدان لبنان, احمد عرابي, كوبري 15 مايو, الزمالك, رمسيس, العباسية, طريق النصر, هشام بركات, مكرم عبيد, الميثاق, كوبرى الفطيم, التجمع الاول",20 جنيه
126,"التجمع الاول, زهراء مدينة نصر, احمد الزمر, عباس العقاد, طريق الفنجري, منشية الجمل, ش بورسعيد, سعد سليم, المظلات, ش شبرا, روض الفرج",20 جنيه
127,"بولاق الدكرور, كوبري 15 مايو, الزمالك, كورنيش النيل, تحرير, العباسية, الخليفة المأمون, روكسي, الاهرام, ش النزهة, م . الحجاز, مساكن شيراتون",20 جنيه
129,"عرب الطوايلة, شارع التروللي, ميدان المطرية, ميدان حدائق القبة, شارع مصر والسودان, شارع احمد سعيد, شارع الجيش, العتبة (الجراج)",20 جنيه
131,"دوران شبرا, شارع شبرا, سكة الوايلي, شارع الفنجري, طريق النصر, مكرم عبيد, مصطفى النحاس, الحي الثامن, كوبري الفطيم, التجمع الأول",20 جنيه
132,"مؤسسة الزكاة, جسر السويس, الالف مسكن, الحجاز, روكسي, شارع القبة, حدائق القبة, سكة الوايلي, الزاوية الحمراء, كوبري الساحل, القومية العربية",20 جنيه
133,"التجمع الأول (الرحاب), زهراء مدينة نصر, الحي الثامن, الطيران, كلية بنات عين شمس, الميرغني, الحجاز, جسر السويس, ابو رجيلة, كفر الشرفا",20 جنيه
134,"محمد نجیب, جسر السويس, النزهة, ميدان الساعة, طريق السويس, احمد الزمر, الميثاق, محور السادات, الرحاب",20 جنيه
135,"الاباجية, التحرير, رمسيس, العباسية, شارع الميرغني, شارع الاهرام, شارع الحجاز, میدان الالف مسكن, شارع جسر السويس, محطة الهايكستب",20 جنيه
136,"التجمع الأول, زهراء مدينة نصر, احمد الزمر, مصطفى النحاس, الطيران, الأوتوستراد, العباسية, ش بورسعيد, السيدة عائشة, السيدة نفيسة",20 جنيه
137,"مساكن شيراتون, عبد الحميد بدوي, م الحجاز, روكسي, العباسية, رمسيس, كوبري 6 اكتوبر, العجوزة, شارع الوحدة, القومية العربية",20 جنيه
138,"حلوان, كورنيش النيل, المعادي, فم الخليج, تحرير, رمسيس, العباسية, الخليفة المأمون, الالف مسكن, جسر السويس, النزهة الجديدة",20 جنيه
139,"القومية العربية, شارع النيل, ك 15 مايو, الزمالك, م عبد المنعم رياض, م التحرير, باب اللوق, ش بورسعيد, السيدة زينب, حدائق زينهم",20 جنيه
140,"محمد نجيب, شارع 6 اكتوبر, الجراج, شارع النزهة, ميدان الساعة, التأمين الصحي, مصطفى النحاس, محور السادات, الرحاب",20 جنيه
145,"مؤسسة الزكاة, جسر السويس, التجنيد, كلية بنات عين شمس, شارع الطيران, الحي السابع, حي السفارات, شنزو آبي, الطوب الرملي",20 جنيه
146,"كفر الشرفا, جسر السويس, الحجاز, روكسي, عباسية, رمسيس, تحریر, احمد ماهر, مجرى العيون, السيدة نفيسة",20 جنيه
148,"محمد نجيب, شارع الاربعين, جسر السويس, الالف مسكن, التجنيد, ميدان روكسي, العباسية, شارع بورسعيد, القلعة, السيدة عائشة, الاباجية",20 جنيه
149,"القومية العربية, كوبري الساحل, شارع شبرا, شارع رمسيس, ميدان العتبة, السيدة زينب, شارع مجري العيون, ميدان السيدة عائشة, البساتين",20 جنيه
150,"بشتيل, احمد عرابي, شارع النيل, تحرير, رمسيس, عباسية, شارع الخليفة المأمون, الأوتوستراد, اول عباس, النادي الاهلي, شارع الصاعقة, مدرسة نوال",20 جنيه
151,"المرج, ش عين شمس, ش سليم الاول, ش 23 يوليو, العباسية, شارع العباسية, احمد سعيد, ش مصر والسودان, أحمد حلمى",20 جنيه
153,"زهراء عين شمس, عين شمس الحلمية, روكسي, الخليفة المأمون, كلية البنات, حسن المأمون, الحى العاشر, مديرية امن القاهرة الجديدة, الرحاب بوابة 6",20 جنيه
159,"دوران شبرا, المظلات, سعد سليم, السواح, روكسي, الميرغني, كلية البنات, ش الطيران, مصطفى النحاس, المنهل, الحى العاشر, التجمع الاول",20 جنيه
162,"كوبري عرابي, شارع 15 مايو, الشارع الجديد, المطرية, النزهة, طريق السويس, محور محمد نجيب, الرحاب بوابة 6",20 جنيه
165,"وراق الحضر, شارع النيل, كوبري 15 مايو, شارع 26 يوليو, شارع رمسيس, میدان العتبة, شارع بورسعيد, ميدان السيدة عائشة, طريق الأوتوستراد, البساتين",20 جنيه
167,"الرحاب بوابة 6, الحي السابع, جامعة الأزهر, الأوتوستراد, عباسية, ش رمسيس, ك 6 أكتوبر, كيت كات, ميت عقبة, ميدان لبنان",20 جنيه
202,"عرب الطوايلة, المسلة, ش التروللي, م المطرية, السواح, الخليفة المأمون, العباسية, ميدان الجيش, المنصورية, الدراسة",20 جنيه
203,"مدينة الامل, الأوتوستراد, عباسية, رمسيس, الزمالك, احمد عرابي, السودان, میدان لبنان, العمرانية",20 جنيه
210,"العمرانية, الجيزة, ش جامعة القاهرة, ش السراي, كورنيش النيل, مجرى العيون, السيدة عائشة, الأوتوستراد, مساكن الشروق",20 جنيه
211,"كفر طهرمس, م الجيزة, جامعة القاهرة, القصر العيني, تحرير, العباسية, الخليفة المأمون, شارع القبة, جسر السويس, مدينة السلام سبيكو",20 جنيه
212,"كفر طهرمس, شارع الملك فيصل, الجيزة, جامعة القاهرة, شارع قصر العيني, التحرير, ميدان رمسيس, صلاح سالم, هشام بركات, الحي السابع",20 جنيه
219,"بشتيل, كوبري عرابي, جامعة الدول, كوبري 6 اكتوبر, رمسيس, العباسية, روكسي, الحجاز, الالف مسكن, جسر السويس, موقف السلام النموذجي",20 جنيه
220,"الرحاب, طريق الواحة, ذاكر حسين, شارع الطيران, صلاح سالم, ميدان عباسية, رمسيس, شارع شبرا, ميدان الخلفاوي, شارع ترعة الاسماعيلية, مدينة النور",20 جنيه
222,"مدينة النور, السواح, المطرية, شارع الحجاز, روكسي, الكوربة, شارع النزهة, مكرم عبيد, مصطفى النحاس, الحى العاشر, كوبري الفطيم, الرحاب",20 جنيه
223,"البراجيل, كوبرى عرابي, جامعة الدول العربية, كوبرى 6 أكتوبر, نجيب الريحاني, العتبة, باب الشعرية, الدراسة",20 جنيه
